hrsrelax,mntlhlth,hrs1,degree,grass
,,,HIGH SCHOOL,
3,0,35,HIGH SCHOOL,LEGAL
2,0,32,JUNIOR COLLEGE,LEGAL
,,,BACHELOR,LEGAL
4,0,40,BACHELOR,NOT LEGAL
2,15,57,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,LEGAL
4,4,50,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
4,0,35,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
2,0,60,JUNIOR COLLEGE,LEGAL
2,2,40,HIGH SCHOOL,NOT LEGAL
1,4,50,HIGH SCHOOL,NOT LEGAL
2,2,32,BACHELOR,
2,0,15,HIGH SCHOOL,LEGAL
5,0,9,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,
4,0,8,LT HIGH SCHOOL,
4,2,20,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
6,0,40,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
2,30,50,LT HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
3,0,40,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
2,0,48,LT HIGH SCHOOL,NOT LEGAL
2,0,70,HIGH SCHOOL,NOT LEGAL
12,0,44,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
1,0,55,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
2,0,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4,0,42,HIGH SCHOOL,
7,3,30,HIGH SCHOOL,NOT LEGAL
7,0,20,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
6,0,40,HIGH SCHOOL,LEGAL
6,1,56,BACHELOR,LEGAL
8,0,39,HIGH SCHOOL,LEGAL
3,0,72,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
4,4,50,BACHELOR,LEGAL
1,15,40,GRADUATE,LEGAL
,,,HIGH SCHOOL,LEGAL
6,0,40,HIGH SCHOOL,NOT LEGAL
2,1,28,BACHELOR,
5,0,50,GRADUATE,
,,,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1,0,35,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,0,40,BACHELOR,LEGAL
1,5,48,BACHELOR,LEGAL
5,0,60,HIGH SCHOOL,
1,7,36,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
4,0,45,HIGH SCHOOL,
1,27,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
4,1,20,HIGH SCHOOL,
1,5,85,GRADUATE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
6,0,20,HIGH SCHOOL,
4,0,40,BACHELOR,NOT LEGAL
,,,JUNIOR COLLEGE,
2,0,9,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
0,0,10,HIGH SCHOOL,LEGAL
0,0,46,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
2,15,40,HIGH SCHOOL,LEGAL
12,0,15,GRADUATE,
3,2,42,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,0,30,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
5,5,30,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4,0,45,BACHELOR,LEGAL
5,0,9,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2,5,40,HIGH SCHOOL,NOT LEGAL
1,0,2,HIGH SCHOOL,
6,10,25,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
2,4,89,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
2,20,52,HIGH SCHOOL,LEGAL
3,0,40,BACHELOR,
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
5,0,24,HIGH SCHOOL,NOT LEGAL
0,0,48,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2,0,56,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
0,30,40,LT HIGH SCHOOL,NOT LEGAL
2,21,14,LT HIGH SCHOOL,LEGAL
2,30,35,HIGH SCHOOL,LEGAL
2,0,40,HIGH SCHOOL,NOT LEGAL
6,15,50,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
8,0,6,GRADUATE,NOT LEGAL
,,,BACHELOR,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
2,4,40,HIGH SCHOOL,
12,0,60,LT HIGH SCHOOL,LEGAL
0,0,32,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,
1,1,40,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,25,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
6,10,9,HIGH SCHOOL,LEGAL
,0,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
1,1,70,JUNIOR COLLEGE,
3,30,40,BACHELOR,
3,0,40,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
10,0,30,HIGH SCHOOL,NOT LEGAL
4,0,40,GRADUATE,
,,,BACHELOR,NOT LEGAL
5,4,40,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,NOT LEGAL
6,2,20,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
7,0,21,GRADUATE,
,,,BACHELOR,LEGAL
1,0,50,HIGH SCHOOL,LEGAL
1,0,50,BACHELOR,
2,0,40,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
6,5,41,GRADUATE,
,,,HIGH SCHOOL,
0,0,48,HIGH SCHOOL,LEGAL
2,0,60,GRADUATE,NOT LEGAL
4,7,40,BACHELOR,
5,0,50,BACHELOR,LEGAL
5,0,50,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
2,0,35,HIGH SCHOOL,
4,2,65,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
,,,JUNIOR COLLEGE,
5,4,42,BACHELOR,NOT LEGAL
1,2,44,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,LEGAL
3,0,43,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
6,15,50,HIGH SCHOOL,LEGAL
4,1,40,HIGH SCHOOL,
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
3,0,40,GRADUATE,
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
10,1,20,GRADUATE,NOT LEGAL
6,6,45,HIGH SCHOOL,LEGAL
,,,BACHELOR,
2,0,43,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
1,20,45,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
2,10,50,HIGH SCHOOL,
10,0,10,HIGH SCHOOL,
,,,HIGH SCHOOL,
2,8,20,HIGH SCHOOL,NOT LEGAL
6,10,8,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
2,0,40,HIGH SCHOOL,LEGAL
1,0,42,HIGH SCHOOL,
,,,HIGH SCHOOL,
3,1,55,HIGH SCHOOL,
,,,HIGH SCHOOL,
5,0,40,LT HIGH SCHOOL,
5,0,50,BACHELOR,NOT LEGAL
0,0,40,GRADUATE,
1,5,40,GRADUATE,LEGAL
,,,BACHELOR,
3,4,45,GRADUATE,
4,5,60,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
0,11,89,HIGH SCHOOL,NOT LEGAL
2,25,60,BACHELOR,
1,0,50,GRADUATE,LEGAL
,,,HIGH SCHOOL,
5,30,40,HIGH SCHOOL,
,,,BACHELOR,LEGAL
5,0,50,HIGH SCHOOL,NOT LEGAL
3,5,40,HIGH SCHOOL,
5,5,45,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
1,0,44,BACHELOR,
2,0,89,BACHELOR,LEGAL
2,5,55,GRADUATE,LEGAL
,,,HIGH SCHOOL,LEGAL
3,0,89,HIGH SCHOOL,LEGAL
2,4,40,HIGH SCHOOL,
3,10,40,JUNIOR COLLEGE,NOT LEGAL
3,5,32,JUNIOR COLLEGE,LEGAL
2,2,56,HIGH SCHOOL,
3,1,40,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
5,5,27,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
4,0,60,BACHELOR,
,,,GRADUATE,
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,NOT LEGAL
1,10,40,HIGH SCHOOL,NOT LEGAL
2,0,24,JUNIOR COLLEGE,
5,0,40,HIGH SCHOOL,
6,8,42,GRADUATE,
3,0,55,GRADUATE,LEGAL
6,15,38,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
1,1,52,BACHELOR,
2,0,40,HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
9,0,50,HIGH SCHOOL,
1,20,35,HIGH SCHOOL,NOT LEGAL
1,0,9,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
3,5,50,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
10,0,32,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,0,41,HIGH SCHOOL,LEGAL
5,0,52,HIGH SCHOOL,LEGAL
4,2,40,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,0,89,HIGH SCHOOL,
3,0,89,GRADUATE,NOT LEGAL
2,0,86,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1,0,40,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
6,0,20,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
4,15,36,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
3,7,40,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
3,6,89,JUNIOR COLLEGE,NOT LEGAL
5,0,37,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
2,0,40,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
2,0,35,HIGH SCHOOL,
,,,HIGH SCHOOL,
3,0,68,LT HIGH SCHOOL,
2,0,29,HIGH SCHOOL,NOT LEGAL
3,0,44,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
6,0,16,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
2,0,56,HIGH SCHOOL,
4,0,14,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,LEGAL
2,0,50,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
4,0,55,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
3,20,46,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
3,0,40,BACHELOR,NOT LEGAL
1,2,50,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
3,5,60,GRADUATE,LEGAL
3,0,40,BACHELOR,LEGAL
2,2,50,BACHELOR,
1,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
2,3,48,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
6,20,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5,15,40,JUNIOR COLLEGE,LEGAL
3,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
4,0,52,GRADUATE,
5,0,27,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3,0,40,GRADUATE,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
4,0,68,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,5,40,LT HIGH SCHOOL,NOT LEGAL
12,0,40,HIGH SCHOOL,NOT LEGAL
4,0,15,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4,14,4,LT HIGH SCHOOL,
3,0,46,JUNIOR COLLEGE,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
0,3,40,HIGH SCHOOL,NOT LEGAL
6,0,70,HIGH SCHOOL,NOT LEGAL
1,2,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
3,0,32,LT HIGH SCHOOL,NOT LEGAL
4,0,30,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
2,1,60,JUNIOR COLLEGE,
2,5,48,HIGH SCHOOL,NOT LEGAL
3,2,36,HIGH SCHOOL,NOT LEGAL
1,,82,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
6,0,32,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2,1,67,LT HIGH SCHOOL,LEGAL
1,10,40,JUNIOR COLLEGE,NOT LEGAL
0,0,26,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3,0,40,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1,15,47,HIGH SCHOOL,NOT LEGAL
3,0,50,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5,0,40,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2,0,40,HIGH SCHOOL,
0,0,39,LT HIGH SCHOOL,NOT LEGAL
12,0,15,HIGH SCHOOL,NOT LEGAL
4,0,43,HIGH SCHOOL,LEGAL
5,0,50,BACHELOR,LEGAL
6,2,30,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
5,5,40,HIGH SCHOOL,
2,0,50,HIGH SCHOOL,LEGAL
2,0,40,GRADUATE,
2,3,40,GRADUATE,LEGAL
3,0,42,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,24,HIGH SCHOOL,
5,3,40,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,
6,1,40,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
3,0,50,HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,NOT LEGAL
6,0,28,HIGH SCHOOL,LEGAL
2,3,40,HIGH SCHOOL,LEGAL
1,0,50,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
,,,BACHELOR,
2,20,15,BACHELOR,
2,0,40,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
5,0,40,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,
5,0,49,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4,0,80,LT HIGH SCHOOL,
5,7,48,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
0,0,42,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3,4,35,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
0,0,40,HIGH SCHOOL,NOT LEGAL
3,4,80,HIGH SCHOOL,NOT LEGAL
4,0,56,LT HIGH SCHOOL,NOT LEGAL
3,2,30,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
0,0,60,GRADUATE,
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
6,2,25,JUNIOR COLLEGE,
5,0,40,JUNIOR COLLEGE,LEGAL
9,0,40,HIGH SCHOOL,NOT LEGAL
,,13,JUNIOR COLLEGE,
2,3,36,LT HIGH SCHOOL,LEGAL
2,1,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
13,0,65,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
3,20,9,HIGH SCHOOL,
3,0,40,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
3,0,70,LT HIGH SCHOOL,LEGAL
6,0,37,JUNIOR COLLEGE,NOT LEGAL
0,0,20,JUNIOR COLLEGE,NOT LEGAL
,,,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,NOT LEGAL
2,0,32,HIGH SCHOOL,
6,0,35,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
7,0,8,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
1,0,80,JUNIOR COLLEGE,NOT LEGAL
4,1,40,HIGH SCHOOL,LEGAL
4,0,56,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
1,0,45,JUNIOR COLLEGE,NOT LEGAL
4,0,55,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2,25,30,JUNIOR COLLEGE,
5,0,50,BACHELOR,LEGAL
7,0,25,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
5,0,70,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
10,0,12,HIGH SCHOOL,LEGAL
3,2,10,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2,4,52,LT HIGH SCHOOL,LEGAL
3,4,50,HIGH SCHOOL,
4,0,80,HIGH SCHOOL,NOT LEGAL
3,0,55,BACHELOR,
8,0,55,GRADUATE,NOT LEGAL
10,30,70,LT HIGH SCHOOL,LEGAL
6,4,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
4,30,9,HIGH SCHOOL,
8,0,40,HIGH SCHOOL,LEGAL
3,5,40,HIGH SCHOOL,LEGAL
5,0,40,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
4,0,50,JUNIOR COLLEGE,
0,0,40,JUNIOR COLLEGE,NOT LEGAL
8,0,9,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
2,15,45,GRADUATE,NOT LEGAL
2,0,24,HIGH SCHOOL,LEGAL
2,0,36,JUNIOR COLLEGE,NOT LEGAL
,30,9,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4,0,30,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,
4,0,70,BACHELOR,LEGAL
4,0,4,LT HIGH SCHOOL,NOT LEGAL
0,0,70,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
0,0,52,HIGH SCHOOL,NOT LEGAL
3,0,37,HIGH SCHOOL,NOT LEGAL
5,0,18,BACHELOR,
3,5,60,JUNIOR COLLEGE,NOT LEGAL
2,3,45,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
6,0,22,HIGH SCHOOL,
2,0,40,GRADUATE,NOT LEGAL
4,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
6,2,9,LT HIGH SCHOOL,LEGAL
3,0,35,LT HIGH SCHOOL,
4,0,45,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
3,15,50,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
14,0,89,JUNIOR COLLEGE,
2,1,55,LT HIGH SCHOOL,NOT LEGAL
4,0,50,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,
6,10,20,HIGH SCHOOL,NOT LEGAL
3,0,60,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
2,0,80,HIGH SCHOOL,
5,0,35,HIGH SCHOOL,LEGAL
4,0,35,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
4,0,50,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
12,0,84,HIGH SCHOOL,LEGAL
1,4,16,BACHELOR,NOT LEGAL
1,10,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,0,60,HIGH SCHOOL,LEGAL
4,4,32,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,0,33,LT HIGH SCHOOL,
4,26,60,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4,0,40,BACHELOR,
6,10,40,BACHELOR,
6,0,40,BACHELOR,NOT LEGAL
6,2,40,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
,,,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,GRADUATE,
,,,BACHELOR,LEGAL
3,1,40,BACHELOR,LEGAL
,,,GRADUATE,LEGAL
4,2,46,JUNIOR COLLEGE,
6,2,40,GRADUATE,LEGAL
7,0,25,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
0,,50,JUNIOR COLLEGE,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4,3,40,LT HIGH SCHOOL,NOT LEGAL
2,0,43,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2,15,35,HIGH SCHOOL,NOT LEGAL
6,5,24,LT HIGH SCHOOL,
6,5,16,BACHELOR,LEGAL
4,5,50,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,
8,3,20,HIGH SCHOOL,
7,0,50,LT HIGH SCHOOL,
5,0,10,BACHELOR,LEGAL
5,2,40,HIGH SCHOOL,NOT LEGAL
,0,38,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,40,HIGH SCHOOL,LEGAL
6,0,38,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
3,0,40,HIGH SCHOOL,LEGAL
5,1,49,BACHELOR,LEGAL
6,0,40,HIGH SCHOOL,LEGAL
